Uso da CPU (%),Data e Hora,Nome do Programa
5.73,"2024-10-05 19:04:11.131282800 -03:00",monitor_cpu.exe
7.45,"2024-10-05 19:04:11.776648300 -03:00",monitor_cpu.exe
7.34,"2024-10-05 19:04:12.042406500 -03:00",monitor_cpu.exe
8.34,"2024-10-05 19:04:12.115917600 -03:00",monitor_cpu.exe
8.57,"2024-10-05 19:04:12.150728700 -03:00",audiodg.exe
10.52,"2024-10-05 19:04:12.798410900 -03:00",audiodg.exe
11.48,"2024-10-05 19:04:13.062124400 -03:00",msedgewebview2.exe
11.16,"2024-10-05 19:04:13.131639800 -03:00",msedgewebview2.exe
11.33,"2024-10-05 19:04:13.185027800 -03:00",msedgewebview2.exe
21.09,"2024-10-05 19:04:13.815565100 -03:00",chrome.exe
19.39,"2024-10-05 19:04:14.078323700 -03:00",AVGUI.exe
18.90,"2024-10-05 19:04:14.153363500 -03:00",monitor_cpu.exe
19.55,"2024-10-05 19:04:14.210107300 -03:00",AVGUI.exe
16.38,"2024-10-05 19:04:14.835654100 -03:00",chrome.exe
17.10,"2024-10-05 19:04:15.096354 -03:00",chrome.exe
16.86,"2024-10-05 19:04:15.171209900 -03:00",chrome.exe
16.64,"2024-10-05 19:04:15.232413500 -03:00",chrome.exe
8.45,"2024-10-05 19:04:15.853712200 -03:00",chrome.exe
8.43,"2024-10-05 19:04:16.115570600 -03:00",chrome.exe
9.51,"2024-10-05 19:04:16.189231800 -03:00",chrome.exe
8.70,"2024-10-05 19:04:16.250459200 -03:00",chrome.exe
13.03,"2024-10-05 19:04:16.872597 -03:00",Spotify.exe
13.79,"2024-10-05 19:04:17.132619900 -03:00",chrome.exe
13.18,"2024-10-05 19:04:17.209959400 -03:00",chrome.exe
13.13,"2024-10-05 19:04:17.267701900 -03:00",audiodg.exe
7.48,"2024-10-05 19:04:17.888893600 -03:00",audiodg.exe
6.20,"2024-10-05 19:04:18.148799300 -03:00",Taskmgr.exe
6.18,"2024-10-05 19:04:18.226840800 -03:00",monitor_cpu.exe
5.89,"2024-10-05 19:04:18.291171400 -03:00",uihost.exe
15.82,"2024-10-05 19:04:18.911265200 -03:00",chrome.exe
17.03,"2024-10-05 19:04:19.173306900 -03:00",chrome.exe
17.91,"2024-10-05 19:04:19.247307800 -03:00",chrome.exe
18.52,"2024-10-05 19:04:19.312425900 -03:00",chrome.exe
10.10,"2024-10-05 19:04:19.930181500 -03:00",chrome.exe
11.69,"2024-10-05 19:04:20.192324700 -03:00",chrome.exe
10.75,"2024-10-05 19:04:20.264155900 -03:00",chrome.exe
10.10,"2024-10-05 19:04:20.328601800 -03:00",chrome.exe
13.76,"2024-10-05 19:04:20.952397800 -03:00",chrome.exe
14.16,"2024-10-05 19:04:21.209220300 -03:00",chrome.exe
14.13,"2024-10-05 19:04:21.281884400 -03:00",chrome.exe
14.89,"2024-10-05 19:04:21.348844 -03:00",chrome.exe
